epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.811,1.33626,4.78024,1.80772,0.00697,0.92857,0.18207,0.10421,1.12773,5.57874,1.23479,3.334e-05,3.334e-05,3.334e-05
2,187.165,1.19992,4.40082,1.69753,0.00718,1,0.59596,0.45105,1.12405,5.44716,1.19555,8.25248e-05,8.25248e-05,8.25248e-05
3,269.076,1.15136,3.96699,1.68639,0.00584,1,0.63589,0.50743,1.16775,5.42452,1.28506,0.000130719,0.000130719,0.000130719
4,356.698,0.89061,2.7981,1.38726,0.00595,1,0.74958,0.57426,1.1067,5.13507,1.24218,0.000177924,0.000177924,0.000177924
5,452.435,0.94968,2.81006,1.36021,0.00724,1,0.69813,0.53302,1.14108,5.22082,1.1172,0.000224138,0.000224138,0.000224138
6,558.771,0.89273,2.56392,1.34191,0.0109,1,0.75366,0.53559,1.18053,5.21602,1.06367,0.000269362,0.000269362,0.000269362
7,665.62,0.91163,2.70727,1.36431,0.00889,1,0.74698,0.57015,1.14258,5.17341,0.99521,0.000313596,0.000313596,0.000313596
8,791.75,0.76793,2.46434,1.22506,0.00944,1,0.72638,0.5739,1.18638,5.28363,1.01208,0.00035684,0.00035684,0.00035684
9,989.932,0.85912,2.35971,1.27866,0.98729,0.5,0.88015,0.61549,1.18156,5.18744,0.95239,0.000399093,0.000399093,0.000399093
10,1101.46,0.80098,2.33966,1.23136,1,0.42151,0.82067,0.63138,1.18387,5.20147,0.91539,0.000440356,0.000440356,0.000440356
11,1182.06,0.80751,2.3547,1.15944,1,0.27479,0.89757,0.65718,1.16328,5.08564,0.8884,0.000480629,0.000480629,0.000480629
12,1353.84,0.74082,2.11224,1.22403,1,0.39116,0.89958,0.61505,1.19276,5.00057,0.9025,0.000519912,0.000519912,0.000519912
13,1457.59,0.826,2.26332,1.24327,0.93218,0.53906,0.93998,0.6142,1.25535,4.91738,0.94945,0.000558205,0.000558205,0.000558205
14,1552.29,0.79345,2.22584,1.17883,0.95835,0.42857,0.87947,0.61037,1.1419,4.89379,0.85577,0.000595507,0.000595507,0.000595507
15,1646.68,0.8395,2.18914,1.14361,0.91686,0.53608,0.93123,0.57791,1.21899,4.74521,0.93973,0.00063182,0.00063182,0.00063182
16,1726.26,0.77868,1.97094,1.17656,0.93682,0.74559,0.96875,0.63772,1.22264,4.66563,0.90637,0.000667142,0.000667142,0.000667142
17,1831.55,0.85801,2.04878,1.13291,1,0.59343,0.93667,0.64851,1.23943,4.88495,0.85505,0.000701474,0.000701474,0.000701474
18,1953.92,0.67481,1.8724,1.13735,0.93485,0.72719,0.92267,0.61362,1.28486,4.98773,0.97296,0.000734815,0.000734815,0.000734815
19,2151.1,0.73146,1.82746,1.1066,0.88918,0.25298,0.28747,0.1851,1.2171,4.74124,0.90826,0.000767167,0.000767167,0.000767167
20,2312.3,0.77043,1.85903,1.0944,0.9475,0.51809,0.70451,0.44579,1.13681,4.66631,0.8862,0.000798528,0.000798528,0.000798528
21,2430.17,0.75957,1.91304,1.18109,0.82849,0.75015,0.89833,0.5573,1.17855,4.47806,0.89952,0.000828899,0.000828899,0.000828899
22,2544.21,0.80166,1.87058,1.09493,0.79677,1,0.93998,0.63348,1.1573,4.02462,0.90108,0.00085828,0.00085828,0.00085828
23,2993.05,0.95825,2.10186,1.20952,0.80009,0.80763,0.79157,0.53591,1.1807,3.85565,1.01177,0.000886671,0.000886671,0.000886671
24,3090.36,0.72686,1.685,1.11509,0.73614,0.79861,0.83161,0.57879,1.17867,4.02564,0.98744,0.000914071,0.000914071,0.000914071
25,3185.8,0.73356,1.77016,1.10114,0.51636,0.64286,0.6312,0.53971,1.21642,4.19175,0.98814,0.000940481,0.000940481,0.000940481
26,4113.48,0.72173,1.60058,1.09461,0.47186,0.42857,0.42245,0.35275,1.24426,4.1204,1.06378,0.000965901,0.000965901,0.000965901
27,4223.43,0.77463,1.69463,1.18538,0.9938,0.28571,0.32253,0.27531,1.32169,4.26862,1.1047,0.000990331,0.000990331,0.000990331
28,4348.8,0.70869,1.6641,1.16444,0.59136,0.47059,0.58935,0.3726,1.29634,3.78513,1.05597,0.00101377,0.00101377,0.00101377
29,4478.9,0.82698,1.80981,1.10007,0.63375,0.64286,0.71479,0.49884,1.29634,3.78513,1.05597,0.00103622,0.00103622,0.00103622
30,4572.75,0.80952,1.7628,1.13657,0.72081,0.68126,0.67499,0.43392,1.16258,3.25085,0.95613,0.00105768,0.00105768,0.00105768
31,6322.69,0.80337,1.82083,1.0397,0.75594,0.57143,0.66478,0.44656,1.06794,3.13969,0.88505,0.00107815,0.00107815,0.00107815
32,7296.53,0.78666,1.75015,1.07131,0.77399,1,0.94133,0.67584,1.03439,2.96616,0.84238,0.00109763,0.00109763,0.00109763
33,9288.17,0.77834,1.60182,1.09341,0.69741,1,0.89784,0.64524,1.03439,2.96616,0.84238,0.00111612,0.00111612,0.00111612
34,11593.4,0.83454,1.73259,1.1268,0.87313,0.83533,0.84556,0.56369,1.113,3.02223,0.92895,0.00112239,0.00112239,0.00112239
35,13682.7,0.7536,1.52335,1.11348,0.70917,0.57143,0.49842,0.33122,1.08562,3.07132,0.89793,0.00110589,0.00110589,0.00110589
36,13821.1,0.70324,1.47596,1.05774,0.82483,0.14286,0.14803,0.11083,1.09748,2.8168,0.85843,0.00108938,0.00108938,0.00108938
37,15285,0.73014,1.57803,1.05346,0.82033,1,0.93972,0.68329,1.09748,2.8168,0.85843,0.00107288,0.00107288,0.00107288
