epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1577,1.24971,4.50711,1.70007,0.00766,0.875,0.28922,0.20387,1.12707,4.87053,1.35561,3.334e-05,3.334e-05,3.334e-05
2,78.806,1.13402,4.12719,1.65616,0.00824,1,0.56282,0.4428,1.10101,4.76553,1.32582,8.21712e-05,8.21712e-05,8.21712e-05
3,98.1373,1.12806,3.69085,1.66145,0.00673,1,0.66741,0.55455,1.0311,4.70657,1.40559,0.000129588,0.000129588,0.000129588
4,113.338,0.8477,2.63312,1.36835,0.00686,1,0.78813,0.60469,1.06488,4.52492,1.32367,0.00017559,0.00017559,0.00017559
5,125.337,0.88385,2.60542,1.34532,0.00857,1,0.7056,0.59203,1.05141,4.61545,1.24878,0.000220177,0.000220177,0.000220177
6,135.78,0.83131,2.40114,1.33735,0.00791,1,0.71093,0.5662,1.09256,4.65754,1.14077,0.00026335,0.00026335,0.00026335
7,153.49,0.83737,2.57192,1.31743,0.00789,1,0.84844,0.65683,1.09404,4.56086,1.15971,0.000305109,0.000305109,0.000305109
8,188.802,0.73004,2.29786,1.19936,0.00775,1,0.8075,0.60924,1.12483,4.49126,1.13846,0.000345452,0.000345452,0.000345452
9,237.753,0.80433,2.15011,1.23899,0.67681,0.64552,0.66997,0.53993,1.22275,4.71948,1.23381,0.000384382,0.000384382,0.000384382
10,255.825,0.7622,2.14479,1.19663,1,0.37448,0.76613,0.57148,1.23283,4.67911,1.19364,0.000421896,0.000421896,0.000421896
11,279.936,0.79803,2.19905,1.17757,1,0.24941,0.93992,0.69333,1.08575,4.57174,0.96862,0.000457996,0.000457996,0.000457996
12,298.167,0.73138,1.9668,1.23139,1,0.18133,0.93836,0.69697,1.11705,4.63774,0.94984,0.000492682,0.000492682,0.000492682
13,316.002,0.78541,2.07299,1.23468,1,0.28852,0.8588,0.61082,1.22543,4.4721,0.98309,0.000525953,0.000525953,0.000525953
14,333.22,0.76089,1.99446,1.16991,1,0.22597,0.83393,0.61342,1.19481,4.49458,0.94874,0.000557809,0.000557809,0.000557809
15,349.107,0.80417,1.9877,1.14395,1,0.23201,0.70161,0.55717,1.19828,4.58059,0.99785,0.000588251,0.000588251,0.000588251
16,366.446,0.72629,1.86967,1.13794,1,0.2498,0.87,0.62667,1.15359,4.37698,0.92274,0.000617278,0.000617278,0.000617278
17,379.994,0.78792,1.90995,1.13609,1,0.44006,0.8889,0.65518,1.17159,4.53799,0.98214,0.000644891,0.000644891,0.000644891
18,397.798,0.62734,1.70206,1.12007,0.868,0.54816,0.89925,0.66629,1.13954,4.31342,0.95131,0.000671089,0.000671089,0.000671089
19,412.426,0.69573,1.73913,1.09908,0.92705,0.7471,0.92435,0.65168,1.17036,4.10426,0.90517,0.000695872,0.000695872,0.000695872
20,426.184,0.69205,1.68576,1.07065,0.89609,0.80936,0.97487,0.71536,1.06104,3.80208,0.85707,0.000719241,0.000719241,0.000719241
21,437.041,0.69351,1.74317,1.15734,0.77505,0.88452,0.94121,0.66279,1.17521,3.58403,0.95632,0.000741196,0.000741196,0.000741196
22,452.093,0.70012,1.75351,1.08578,0.88805,0.80674,0.93193,0.6591,1.16723,3.41872,1.02205,0.000761736,0.000761736,0.000761736
23,462.831,0.86272,1.99573,1.17941,0.8431,0.6875,0.86236,0.66378,1.07101,3.25216,0.86267,0.000780861,0.000780861,0.000780861
24,475.941,0.68426,1.59794,1.11602,0.69432,0.875,0.86525,0.62179,1.15093,3.31775,0.92537,0.000798572,0.000798572,0.000798572
25,516.222,0.68756,1.63073,1.12277,0.62581,0.8125,0.72569,0.53608,1.20158,3.49229,1.06046,0.000814868,0.000814868,0.000814868
26,554.64,0.69896,1.48473,1.10938,0.6071,0.70929,0.7639,0.57592,1.17568,3.32246,1.07414,0.000829749,0.000829749,0.000829749
27,611.507,0.68927,1.59164,1.12752,0.55665,0.70058,0.73727,0.58314,1.1518,3.09941,1.00833,0.000843216,0.000843216,0.000843216
28,625.626,0.6471,1.52204,1.1446,0.6576,0.76943,0.78276,0.61299,1.15392,2.96202,0.96538,0.000855269,0.000855269,0.000855269
29,636.333,0.80217,1.73971,1.11216,0.6576,0.76943,0.78276,0.61299,1.15392,2.96202,0.96538,0.000865906,0.000865906,0.000865906
30,655.544,0.77607,1.63802,1.13913,0.79923,0.875,0.94476,0.68623,1.04347,2.6985,0.90671,0.00087513,0.00087513,0.00087513
31,685.754,0.75225,1.69216,1.03812,0.89702,0.97799,0.98111,0.66035,1.03496,2.63478,0.98125,0.000882938,0.000882938,0.000882938
32,700.049,0.76027,1.6304,1.08723,0.95348,0.91047,0.995,0.72146,1.05468,2.5248,0.92577,0.000889333,0.000889333,0.000889333
33,713.978,0.71085,1.49945,1.10919,0.95348,0.91047,0.995,0.72146,1.05468,2.5248,0.92577,0.000894312,0.000894312,0.000894312
34,731.92,0.74054,1.62962,1.08948,0.86907,0.99186,0.95925,0.69748,1.03759,2.38238,0.87137,0.000888987,0.000888987,0.000888987
35,745.365,0.70648,1.43636,1.1148,0.92731,1,0.995,0.70011,1.03274,2.27675,0.88975,0.000865411,0.000865411,0.000865411
